,Offer,Price,Price Off,Title
0,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
1,Special Price & 1 More,₹298,78% off,Krapal Women's Printed Straight Kurta
2,Special Price & 1 More,₹224,88% off,Kuki Fashion Women's Solid Straight Kurta
3,Special Price & 2 More,₹299,70% off,Envy9 Women's Printed Straight Kurta
4,Special Price & 1 More,₹379,70% off,Glorious Casual Embroidered Women Kurti
5,Special Price & 1 More,₹499,66% off,Shoponbit Festive & Party Printed Women's Kurti
6,Special Price & 1 More,₹294,67% off,Gujari Women's Printed Straight Kurta
7,Special Price & 1 More,₹355,55% off,PAVITRA Women's Printed Straight Kurta
8,Special Price & 1 More,₹392,73% off,Crazora Casual Solid Women's Kurti
9,Special Price & 1 More,₹449,65% off,M&D Casual Printed Women's Kurti
10,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
11,Special Price & 1 More,₹811,75% off,Blezza Casual Solid Women Kurti
12,Special Price & 1 More,₹298,80% off,FabTag - Krapal Casual Printed Women Kurti
13,Special Price & 1 More,₹824,78% off,Rhythm fabrics Festive & Party Self Design Women's Kurt...
14,Special Price & 1 More,₹499,66% off,Shoponbit Festive & Party Printed Women's Kurti
15,Special Price & 1 More,"₹1,039",45% off,thelaila Casual Embroidered Women's Kurti
16,No Cost EMI & 2 More,₹468,60% off,Nayo Women's Printed Straight Kurta
17,Bank Offer,₹299,76% off,Glance Designs Festive & Party Self Design Women's Kurt...
18,Special Price & 1 More,₹499,66% off,Gulmohar Jaipur Women's Printed Straight Kurta
19,Special Price & 1 More,₹607,39% off,POSHAK Festive & Party Printed Women's Kurti
20,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
21,No Cost EMI & 2 More,₹956,56% off,Nayo Women's Solid A-line Kurta
22,No Cost EMI & 2 More,₹652,56% off,Nayo Women's Printed A-line Kurta
23,No Cost EMI & 2 More,₹555,40% off,Anmi Women's Geometric Print Straight Kurta
24,Special Price & 1 More,₹499,66% off,Shoponbit Festive & Party Printed Women's Kurti
25,Special Price & 1 More,"₹1,039",45% off,thelaila Casual Embroidered Women's Kurti
26,No Cost EMI & 2 More,₹642,50% off,Libas Women's Abstract Pathani Kurta
27,No Cost EMI & 2 More,₹449,47% off,Anmi Women's Animal Print Straight Kurta
28,No Cost EMI & 2 More,"₹1,199",60% off,Nayo Women Printed A-line Kurta
29,Special Price & 1 More,₹607,39% off,POSHAK Festive & Party Printed Women's Kurti
30,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
31,No Cost EMI & 2 More,₹854,65% off,Ziyaa Women's Geometric Print Straight Kurta
32,No Cost EMI & 2 More,₹701,46% off,Libas Women's Solid Straight Kurta
33,Special Price & 1 More,₹659,56% off,Gulmohar Jaipur Women's Printed A-line Kurta
34,Special Price & 1 More,₹499,66% off,Shoponbit Festive & Party Printed Women's Kurti
35,Special Price & 1 More,"₹1,039",45% off,thelaila Casual Embroidered Women's Kurti
36,No Cost EMI & 1 More,₹512,48% off,Aurelia Women Printed Straight Kurta
37,Special Price & 1 More,₹819,69% off,Stylum Casual Solid Women Kurti
38,Special Price & 1 More,"₹1,039",73% off,Vbuyz Women's Embroidered Straight Kurta
39,Special Price & 2 More,₹354,39% off,Style N Shades Women's Solid Straight Kurta
40,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
41,No Cost EMI & 2 More,₹400,47% off,Anmi Women's Floral Print Straight Kurta
42,No Cost EMI & 2 More,₹701,46% off,Libas Women's Floral Print A-line Kurta
43,No Cost EMI & 1 More,₹800,59% off,W Women's Printed Straight Kurta
44,Special Price & 1 More,₹499,66% off,Shoponbit Festive & Party Printed Women's Kurti
45,Special Price & 1 More,"₹1,039",45% off,thelaila Casual Embroidered Women's Kurti
46,No Cost EMI & 2 More,"₹1,133",46% off,Libas Women's Printed A-line Kurta
47,Special Price & 1 More,₹298,80% off,FabTag - KRAPAL Casual Printed Women Kurti
48,No Cost EMI & 2 More,₹494,60% off,Ziyaa Women's Printed Straight Kurta
49,Special Price & 1 More,₹607,39% off,POSHAK Festive & Party Printed Women's Kurti
50,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
51,No Cost EMI & 1 More,₹597,46% off,Rangmanch by Pantaloons Women Printed Straight Kurta
52,No Cost EMI & 1 More,"₹1,200",59% off,W Women's Printed Flared Kurta
53,Special Price & 1 More,₹685,57% off,Cottinfab Women's Printed Straight Kurta
54,Special Price & 1 More,₹499,66% off,Shoponbit Festive & Party Printed Women's Kurti
55,Special Price & 1 More,"₹1,039",45% off,thelaila Casual Embroidered Women's Kurti
56,No Cost EMI & 2 More,₹809,46% off,Libas Women's Solid Straight Kurta
57,No Cost EMI & 2 More,₹593,46% off,Gerua Women's Solid A-line Kurta
58,Special Price & 1 More,₹699,60% off,Stylum Casual Block Print Women Kurti
59,Special Price & 1 More,₹607,39% off,POSHAK Festive & Party Printed Women's Kurti
60,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
61,No Cost EMI & 2 More,₹985,60% off,Nayo Women's Printed Cape Top Kurta
62,Special Price & 1 More,₹685,74% off,Oomph! Women's Floral Print Flared Kurta
63,Special Price & 2 More,₹354,74% off,Style N Shades Women's Solid Straight Kurta
64,Special Price & 1 More,₹499,66% off,Shoponbit Festive & Party Printed Women's Kurti
65,Special Price & 1 More,"₹1,039",45% off,thelaila Casual Embroidered Women's Kurti
66,No Cost EMI & 2 More,₹494,67% off,Ziyaa Women's Geometric Print Straight Kurta
67,No Cost EMI & 1 More,₹711,58% off,W Women's Printed Straight Kurta
68,No Cost EMI & 1 More,"₹2,040",59% off,W Women's Printed Flared Kurta
69,Special Price & 1 More,₹607,39% off,POSHAK Festive & Party Printed Women's Kurti
70,Bank Offer,₹899,70% off,Glorious Women Embroidered Gown Kurta
71,Special Price & 1 More,₹615,55% off,Janasya Casual Printed Women Kurti
72,Bank Offer,"₹1,050",33% off,MomToBe Women's Solid A-line Kurta
